payment_id,order_id,payment_date,payment_method,payment_status,amount_paid,transaction_fee,refund_amount
PAY1000000,ORD1000000,,EMI,Failed,0,0,0
PAY1000001,ORD1000001,2/12/2023,UPI,Success,4998,0,0
PAY1000002,ORD1000002,12/14/2024,Net Banking,Success,867.3,0,0
PAY1000003,ORD1000003,,Cash on Delivery,Not Charged,0,0,0
,ORD1000004,7/27/2025,,Not Charged,0,0,
PAY1000005,ORD1000005,1/8/2025,Cash on Delivery,Success,,0,0
,ORD1000006,5/27/2025,,Success,16387.66,0,0
PAY1000007,ORD1000007,10/5/2025,,,0,0,0
,ORD1000008,7/15/2023,Cardless EMI,Success,36866.76,553,0
PAY1000009,ORD1000009,,,Failed,0,0,0
PAY1000010,ORD1000010,,,Not Charged,0,0,
PAY1000011,ORD1000011,8/24/2023,,Success,1046.43,15.7,0
PAY1000012,ORD1000012,6/7/2024,,Success,64851.15,0,0
PAY1000013,ORD1000013,10/14/2023,Net Banking,Success,37442.06,0,0
PAY1000014,ORD1000014,7/22/2023,UPI,Success,1392.3,0,0
PAY1000015,ORD1000015,1/4/2025,,Success,65771.68,0,0
PAY1000016,ORD1000016,11/12/2023,Debit Card,Success,18963,0,0
PAY1000017,,4/24/2023,Debit Card,Success,8305.92,0,0
PAY1000018,ORD1000018,10/13/2024,,Success,,0,0
PAY1000019,ORD1000019,12/27/2023,,Refunded,18677.72,0,18677.72
PAY1000020,ORD1000020,,,Success,6074.78,91.12,0
PAY1000021,ORD1000021,11/12/2023,,Success,6086.74,0,0
PAY1000022,ORD1000022,11/24/2024,,Success,25757.86,0,0
PAY1000023,ORD1000023,,,Success,5033.7,0,
,ORD1000024,4/24/2024,,Success,7965.72,0,0
PAY1000025,ORD1000025,8/14/2023,,Success,11326.35,0,0
PAY1000026,ORD1000026,3/19/2024,,Success,34650,0,0
PAY1000027,ORD1000027,7/10/2025,,Refunded,1744.68,26.17,1744.68
PAY1000028,ORD1000028,6/14/2023,,Success,20515.42,0,0
PAY1000029,ORD1000029,5/3/2023,,Success,9784.06,48.92,0
,,8/24/2024,Net Banking,Success,43323.84,0,0
PAY1000031,ORD1000031,,Pay Later,Success,4314.87,0,0
PAY1000032,ORD1000032,5/7/2023,,,1858.5,27.88,
PAY1000033,ORD1000033,4/14/2023,Net Banking,Failed,0,,0
,ORD1000034,7/14/2024,,Success,4447.48,0,
PAY1000035,ORD1000035,11/3/2024,Credit Card,Refunded,19559.5,293.39,19559.5
PAY1000036,ORD1000036,12/19/2023,,Success,35548.7,,0
PAY1000037,ORD1000037,11/3/2025,Cash on Delivery,,1869,0,0
PAY1000038,ORD1000038,8/11/2024,,Success,103351.5,516.76,
,ORD1000039,3/13/2025,Debit Card,Success,,,0
PAY1000040,ORD1000040,9/23/2025,,Success,,0,
PAY1000041,ORD1000041,3/19/2024,Net Banking,Success,61045.42,0,0
PAY1000042,ORD1000042,10/22/2025,UPI,Success,4636.8,0,0
PAY1000043,ORD1000043,10/27/2024,,Success,177357.6,2660.36,0
PAY1000044,ORD1000044,12/31/2025,Cash on Delivery,Success,9028.22,0,
PAY1000045,ORD1000045,7/16/2024,,Success,,,
